;TECHPUBLAYERNAME;uuid
437;ch.swisstopo.lubis-luftbilder_schwarzweiss;12970991-2623-4e1e-a420-7435a6b5046c
438;ch.swisstopo.lubis-terrestrische_aufnahmen;7e0b1343-0d6c-4d3d-9c63-9ed49ca2c0a9
439;ch.swisstopo.schneeschuhwandern;56c1795e-c074-4731-9766-9a44050dc2a8
440;ch.swisstopo.swissboundaries3d-bezirk-flaeche.fill;e1b8837d-8c19-4b65-a8b5-21aaff44fa91
441;ch.swisstopo.swissboundaries3d-gemeinde-flaeche.fill;9961dc6c-20a9-4b16-8a24-b20c3d8ddb83
442;ch.swisstopo.swissboundaries3d-kanton-flaeche.fill;9eee6d40-f0a6-46c9-94ad-69679b9f3d38
443;ch.swisstopo.swissboundaries3d-land-flaeche.fill;c5bd42e6-033f-4d43-a398-320b42538798
444;ch.swisstopo.swissimage-product.metadata;1fc43fd9-f43f-4779-aa59-51e8f4833372
445;ch.swisstopo.swissnames3d;ab24e5cc-7f53-451a-820a-f113fa545943
446;ch.swisstopo.swisssurface3d-raster.metadata;36ad08cb-ba6b-4bd4-9960-c809a1ff7a66
447;ch.swisstopo.swisssurface3d.metadata;a1a07baa-2dfc-458e-91e7-b1710ce1de1d
448;ch.swisstopo.swisstlm3d-eisenbahnnetz;b93d607a-9024-41c6-81c3-cbd311d00a44
449;ch.swisstopo.swisstlm3d-gewaessernetz;3dc772fe-8356-4a9a-8663-ce5159a42de7
450;ch.swisstopo.swisstlm3d-strassen;be285f33-0373-4882-b911-de402bcdfeb4
451;ch.swisstopo.swisstlm3d-uebrigerverkehr;ffc0267e-aca8-49ac-8f3e-86c9beca51f2
452;ch.swisstopo.transformation-bezugsrahmen_hoehe;b3362599-3bc6-4615-a290-546792f89c83
453;ch.swisstopo.transformationsgenauigkeit;579e0ecf-6700-4652-81f5-bf0e28f2fcd6
454;ch.swisstopo.treasurehunt;
455;ch.swisstopo.vec200-adminboundaries-protectedarea;37c78660-531a-404c-86f8-8cdde0c3d985
456;ch.swisstopo.vec200-hydrography;f22843ce-ee17-43b3-adc8-ad7015043984
457;ch.swisstopo.vec200-landcover;cfbd4793-4225-4743-942b-d9b97acfbfcc
458;ch.swisstopo.vec200-miscellaneous;2ba45ce9-b062-4792-95ba-9bbc8d840652
459;ch.swisstopo.vec200-names-namedlocation;4af350f6-2df1-4b5b-947f-6d65aea528f8
460;ch.swisstopo.vec200-transportation-oeffentliche-verkehr;dbcb87f1-3704-4eb6-8bd4-efed536bbf56
461;ch.swisstopo.vec200-transportation-strassennetz;2816b787-2508-42c8-8dec-094d68f5f094
462;ch.swisstopo.vec25-anlagen;67047f47-13d7-491a-bb7e-bb2c8016582d
463;ch.swisstopo.vec25-einzelobjekte;5fb1376e-554a-4bcc-9c1d-e0b9b39d7aaa
464;ch.swisstopo.vec25-gebaeude;112c4f0e-0755-44bb-bdb0-249e9c56f8bb
465;ch.swisstopo.vec25-gewaessernetz_referenz;0351bc2e-3cdc-4e8a-b422-0142e494e7b4
466;ch.swisstopo.vec25-heckenbaeume;664aacf5-91f8-43b1-a6b4-f01eca6cc082
467;ch.swisstopo.vec25-primaerflaechen;fb4c7281-bd58-4aae-b86a-3a73ba82e0aa
468;ch.swisstopo.verschiebungsvektoren-tsp1;b7630e06-7e06-4ab0-9ed5-9fd2e66b6433
469;ch.swisstopo.verschiebungsvektoren-tsp2;fcd80c13-8824-4c3b-835b-95172eb9e4e6
470;ch.swisstopo.zeitreihen;22287cd6-b75b-4caf-9413-aa3f196548b2
