;UUID;Protokoll;URL
1;27866f0f-12d7-4364-bcce-9a0c17558173;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=schneesport&lang=de&bgLayer=voidLayer&layers=ch.swisstopo.pixelkarte-farbe-winter&layers_opacity=0.85&catalogNodes=2352
2;27866f0f-12d7-4364-bcce-9a0c17558173;OGC:WMS;https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetCapabilities
0;22287cd6-b75b-4caf-9413-aa3f196548b2;WWW:LINK;https://www.swisstopo.admin.ch/de/wissen-fakten/geschichte-sammlungen/historische-kartenwerke.html
1;22287cd6-b75b-4caf-9413-aa3f196548b2;WWW:LINK;https://www.swisstopo.admin.ch/fr/connaissances-faits/histoire-collections/cartes-historiques.html
2;22287cd6-b75b-4caf-9413-aa3f196548b2;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=swisstopo&lang=de&bgLayer=voidLayer&catalogNodes=1392&layers=ch.swisstopo.zeitreihen&layers_timestamp=18641231&time=1864
0;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;WWW:LINK;https://www.are.admin.ch/are/de/home/laendliche-raeume-und-berggebiete/internationale-zusammenarbeit/alpenkonvention.html
1;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.are.alpenkonvention/data.zip
2;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
3;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;WWW:DOWNLOAD-URL;https://www.are.admin.ch/are/de/home/raumentwicklung-und-raumplanung/grundlagen-und-daten/minimale-geodatenmodelle/alpenkonvention.html
4;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;CHTOPO:specialised-geoportal;http://map.are.admin.ch/?Y=660000&X=190000&zoom=1&bgLayer=ch.swisstopo.pixelkarte-grau&layers=ch.are.alpenkonvention&layers_opacity=0.2&layers_visibility=true&lang=de
5;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;OGC:WMTS;http://wmts.geo.admin.ch
6;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;WWW:LINK;http://www.alpconv.org
7;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;WWW:LINK;http://map.geo.admin.ch/?selectedNode=LT1_1&Y=660000&X=190000&zoom=1&bgLayer=ch.swisstopo.pixelkarte-farbe&layers=ch.are.alpenkonvention&layers_opacity=0.6&layers_visibility=true&lang=de
8;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;WWW:LINK;http://www.admin.ch/ch/d/sr/0_700_1/app1.html
