;concept-cat_id;de;fr;it;en;all_nr;all_pub_unpub;harvested_nr (valid=-1)
http://geocat.ch/concept#252;252;Seilbahn;téléphérique;teleferica;cableway;11;11;1
http://www.geocat.ch/concept#84ec96bd-d435-4da6-b67e-f5a180f3edf8;84ec96bd-d435-4da6-b67e-f5a180f3edf8;Objektschutz;protection d’ouvrage;protezione di opere;local protection;1;1;0
http://geocat.ch/concept#328;328;Wohnzone;zone d'habitation;zona di abitazione;residential zone;30;30;0
http://geocat.ch/concept#96;96;Generalkarte;carte générale;carta generale;general map;3;6;1
http://custom.shared.obj.ch/concept#d43a68c0-b473-4f5d-8e68-fdeaea482c8f;d43a68c0-b473-4f5d-8e68-fdeaea482c8f;Schonzone;périmètre de protection;zona di rispetto;careful treatment zone;2;3;1
http://geocat.ch/concept#99;99;Geoid;géoïde;geoide;geoid;5;5;0
http://geocat.ch/concept#317;317;Wasserbau;aménagement des cours d'eau;sistemazione dei corsi d'acqua;river management;15;15;4
http://custom.shared.obj.ch/concept#ae677a16-f81a-4533-9243-a87831115079;ae677a16-f81a-4533-9243-a87831115079;BGDI Bundesgeodaten-Infrastruktur;IFDG l’Infrastructure Fédérale de données géographiques;IFDG Infrastruttura federale dei dati geografici;FSDI Federal Spatial Data Infrastructure;821;917;35
http://geocat.ch/concept#113;113;Gewässerschutzbereich;secteur de protection des eaux;settore di protezione delle acque;water protection sector;13;13;0
http://custom.shared.obj.ch/concept#6a71eb70-3103-432a-bf96-4ab92b6fc954;6a71eb70-3103-432a-bf96-4ab92b6fc954;Harmonisierte Geologie;géologie hamonisée;geologia armonizzata;harmonised geology;7;8;0
http://geocat.ch/concept#261;261;Skilift;remontée mécanique;risalita meccanica;mountain lift;15;16;1
http://www.geocat.ch/concept#7a2f0400-a90a-4808-9063-8377311d8c35;7a2f0400-a90a-4808-9063-8377311d8c35;Ski;ski;sci;ski;4;5;0
http://geocat.ch/concept#260;260;Situationsplan;plan de situation;piano di situazione;situation plan;2;2;0
http://www.geocat.ch/concept#e91c3cea-6489-4928-9b88-e3fcbd07d181;e91c3cea-6489-4928-9b88-e3fcbd07d181;Sirene;sirène;sirena;siren;21;21;0
http://www.geocat.ch/concept#91f24f52-10f8-45dd-badc-41e449f69f83;91f24f52-10f8-45dd-badc-41e449f69f83;Risikokataster;cadastre des risques;catasto dei rischi;risk register;8;8;0
http://custom.shared.obj.ch/concept#b0207d96-1d5d-4a26-97b8-ab4870fc83aa;b0207d96-1d5d-4a26-97b8-ab4870fc83aa;Unfallstandort;lieu d'accident;sito di un incidente;accident site;3;3;2
http://custom.shared.obj.ch/concept#b867c681-9b7b-4bed-adf0-d3e9e69fac23;b867c681-9b7b-4bed-adf0-d3e9e69fac23;OneGeology-Europe;OneGeology-Europe;OneGeology-Europe;OneGeology-Europe;4;4;0
http://geocat.ch/concept#77;77;Flurname;nom local;nome locale;local name;16;16;0
http://custom.shared.obj.ch/concept#f1275f5b-4f5f-4ada-bf47-0bfbbcbfaf4b;f1275f5b-4f5f-4ada-bf47-0bfbbcbfaf4b;Radroute;pistes de vélo;percorsi per ciclisti;cycling route;1;1;0
http://custom.shared.obj.ch/concept#8356ac25-0a9d-4eb4-bd05-1ef9e16a8c94;8356ac25-0a9d-4eb4-bd05-1ef9e16a8c94;Leitbild;conception directrice;linee direttive;general principle;1;1;0
http://custom.shared.obj.ch/concept#77c33a18-9451-4bf4-a046-f8ad25a23e4f;77c33a18-9451-4bf4-a046-f8ad25a23e4f;Alpenhebung;soulèvement alpin;innalzamento delle alpi;alpine uplift;1;1;0
http://geocat.ch/concept#3;3;Ablagerungszone;zone de sédimentation;zona di sedimentazione;deposition zone;2;2;0
http://custom.shared.obj.ch/concept#2d6ccf0a-c744-4d96-a0db-e181e5b5e9c5;2d6ccf0a-c744-4d96-a0db-e181e5b5e9c5;Strassenlärm;bruit routier;rumore stradale;road noise;29;30;2
http://custom.shared.obj.ch/concept#84795192-a5d6-4252-a7aa-74151f3a172c;84795192-a5d6-4252-a7aa-74151f3a172c;Schneeschuh;raquette à neige;racchetta da neve;snowshoe;5;6;0
http://geocat.ch/concept#11fcc338-bf35-477a-bd4b-e45e76df2dae;11fcc338-bf35-477a-bd4b-e45e76df2dae;Darstellungsmodell;modèle de représentation;modello di rappresentazione;representation model;120;120;0
http://www.geocat.ch/concept#e1946cf9-ef4c-4a9f-9fc2-d75c19de9ddf;e1946cf9-ef4c-4a9f-9fc2-d75c19de9ddf;Schutzraum;abri;rifugio;shelter;25;26;1
http://custom.shared.obj.ch/concept#ef050a66-ded6-4022-b4fe-90aab4a9079e;ef050a66-ded6-4022-b4fe-90aab4a9079e;Luftfahrthindernis;obstacle à la navigation aérienne;ostacolo alla navigazione aerea;air navigation obstacle;16;17;0
http://custom.shared.obj.ch/concept#6f9ad1c5-4b95-4c35-aedd-16bd8c414735;6f9ad1c5-4b95-4c35-aedd-16bd8c414735;Anlage;ébauche;complesso;site;25;25;0
http://custom.shared.obj.ch/concept#354d9241-902c-4f80-89a6-3bf56944410e;354d9241-902c-4f80-89a6-3bf56944410e;Sondernutzungsplan;plan spécial;piano di utilizzazione speciale;plan of special use;81;92;1
http://custom.shared.obj.ch/concept#4a247507-2ca0-45af-b80f-29da80747033;4a247507-2ca0-45af-b80f-29da80747033;Verzeichnis;inventaire;inventario;register;46;50;0
http://www.geocat.ch/concept#e8f9bbe2-f61a-4de9-b3df-d1cc7cc8666a;e8f9bbe2-f61a-4de9-b3df-d1cc7cc8666a;Schneesport;sport de neige;sport della neve;snowsport;5;6;1
http://geocat.ch/concept#308;308;Waldgrenze;limite forestière;limite del bosco;forest line;136;136;0
http://custom.shared.obj.ch/concept#7a6dd485-5aa6-4a48-b36c-ea13cba0b2dc;7a6dd485-5aa6-4a48-b36c-ea13cba0b2dc;Bund;confédération;confederazione;confederation;4;5;0
http://custom.shared.obj.ch/concept#6ab1fd5e-1e4c-49a6-b0b4-71eeac92fe57;6ab1fd5e-1e4c-49a6-b0b4-71eeac92fe57;Isohypse;isohypse;isoipsa;isohypse;1;1;0
http://geocat.ch/concept#f0e75772-d759-47eb-875a-d9fd53336b3b;f0e75772-d759-47eb-875a-d9fd53336b3b;Skating;skating;skating;skating;18;18;1
http://custom.shared.obj.ch/concept#4d27c999-21ff-401c-bfee-23f599175ed9;4d27c999-21ff-401c-bfee-23f599175ed9;Denkmalinventar;inventaire de monuments;inventario dei monumenti;inventory of monuments;1;1;0
http://custom.shared.obj.ch/concept#4a97b852-f7cb-4aa8-b601-9e4be3cca073;4a97b852-f7cb-4aa8-b601-9e4be3cca073;Waldabstand;déboisement;disboscamento;forest clearance;132;132;0
http://geocat.ch/concept#27;27;Bauzone;zone à bâtir;zona edificabile;construction zone;172;177;3
http://custom.shared.obj.ch/concept#74696515-34ec-4a4c-b36a-9dfc11fd0766;74696515-34ec-4a4c-b36a-9dfc11fd0766;Schutzmassnahme;mesure de protection;misura di protezione;protective measure;4;4;0
http://geocat.ch/concept#6dced9b5-f579-4de5-9180-7c19d9e86fe3;6dced9b5-f579-4de5-9180-7c19d9e86fe3;Schutzfunktion;fonction protectrice;funzione protettiva;protective function;3;3;1
http://custom.shared.obj.ch/concept#0d5ee014-66ef-43a6-bb86-a280fd9b008b;0d5ee014-66ef-43a6-bb86-a280fd9b008b;Kläranlage;station d'épuration;impianto di depurazione delle acque;wastewater treatment plant;3;3;1
http://www.geocat.ch/concept#895bc58e-ed58-4190-a4f2-46d0dbf4da03;895bc58e-ed58-4190-a4f2-46d0dbf4da03;Einschränkung;limitation;limitazione;limitation;15;15;0
http://custom.shared.obj.ch/concept#732293ba-68e1-4475-9d5c-858a58c98790;732293ba-68e1-4475-9d5c-858a58c98790;Bau;construction;costruzione;construction;13;23;1
http://geocat.ch/concept#73;73;Flugplatz;aérodrome;aerodromo;airfield;23;30;0
http://custom.shared.obj.ch/concept#cdd3b825-cf1e-4d5d-803d-15fd91f33c1a;cdd3b825-cf1e-4d5d-803d-15fd91f33c1a;Öffentliche Baute;construction publique;edificio pubblica;public building;14;14;0
http://geocat.ch/concept#191;191;Murgang;lave torrentielle;lava torrentizia;debris flow;14;14;3
http://custom.shared.obj.ch/concept#242013d2-4d22-45d0-8c1c-311f1e37f8df;242013d2-4d22-45d0-8c1c-311f1e37f8df;Metamorphes Gestein;roche métamorphique;roccia metamorfica;metamorphic rock;1;1;0
http://geocat.ch/concept#306;306;Waldfläche;surface boisée;superficie boschiva;wooded area;16;16;0
http://www.geocat.ch/concept#17dc0d35-c4e1-42be-9419-2b223517af4b;17dc0d35-c4e1-42be-9419-2b223517af4b;Geobasisdienst;géoservice de base;geoservizio di base;official geoservice;37;39;2
http://custom.shared.obj.ch/concept#17c25f8a-a2cd-4d6e-817c-f959e67a0538;17c25f8a-a2cd-4d6e-817c-f959e67a0538;Mountainbike;vélo tout-terrain VTT;mountain bike;mountain bike;7;7;1
http://custom.shared.obj.ch/concept#9f622a58-728c-4b47-858c-1f9eab40d30d;9f622a58-728c-4b47-858c-1f9eab40d30d;Mobilfunk;radio communication mobile;radiomobile;mobile communication;3;3;0
http://geocat.ch/concept#18;18;Auengebiet;zone alluviale;zona golenale;alluvial site;7;10;1
http://www.geocat.ch/concept#be372047-ffca-4e0a-be30-a9455314d13d;be372047-ffca-4e0a-be30-a9455314d13d;Ameise;fourmi;formica;ant;1;1;0
http://geocat.ch/concept#188;188;Mobiltelefonie;téléphonie mobile;telefonia mobile;mobile telephony;32;34;0
http://custom.shared.obj.ch/concept#10179f7f-6bbe-4ce3-8dab-95ed8c79f0ad;10179f7f-6bbe-4ce3-8dab-95ed8c79f0ad;Fassung;captage;captazione;catchment;7;11;4
http://custom.shared.obj.ch/concept#f6a06480-5764-4b85-b047-44fc13197605;f6a06480-5764-4b85-b047-44fc13197605;Abschwemmung;ruissellement;alluvione;run-off;1;1;0
http://custom.shared.obj.ch/concept#6a292931-2a8b-45e3-8219-954d89ecc5fd;6a292931-2a8b-45e3-8219-954d89ecc5fd;Nutzungsfläche;surface d'affectation;superficie d'utilizzazione;surface of utilisation;5;5;0
http://custom.shared.obj.ch/concept#8ea23c1b-f2b0-407d-b19b-75efad6060bc;8ea23c1b-f2b0-407d-b19b-75efad6060bc;Erdgasleitung;conduite de gaz naturel;metandotto;natural gas pipeline;35;45;7
http://geocat.ch/concept#302;302;Verpachtung;affermage;affitto;lease;1;1;0
http://custom.shared.obj.ch/concept#a4e0a9cc-5744-4dd8-b1f2-1972728ddcb5;a4e0a9cc-5744-4dd8-b1f2-1972728ddcb5;Bodenverwertung;récupération des sols;recupero del suolo;soil recovery;2;2;0
http://geocat.ch/concept#204;204;Ort;localité;località;place;56;56;1
http://custom.shared.obj.ch/concept#e0b666eb-ae28-4805-aaa9-c3afee791f86;e0b666eb-ae28-4805-aaa9-c3afee791f86;Bausperrgut;déchets de chantier tout venant;rifiuto edile ingombrante;bulky construction goods;1;1;0
http://custom.shared.obj.ch/concept#8d02fdc7-d0f6-416c-b7e4-8b7e9aa86435;8d02fdc7-d0f6-416c-b7e4-8b7e9aa86435;Felsuntergrund;roche mère;roccia in posto;bedrock;1;1;0
http://geocat.ch/concept#52;52;Doline;doline;dolina;doline;3;4;0
http://custom.shared.obj.ch/concept#4a3a9a9c-2839-4503-9560-93ed1b46a520;4a3a9a9c-2839-4503-9560-93ed1b46a520;OneGeology;OneGeology;OneGeology;OneGeology;6;6;0
http://geocat.ch/concept#197;197;Navigation;navigation;navigazione;navigation;3;4;0
http://geocat.ch/concept#199;199;Nutzungsplan;plan d'affectation;piano d'utilizzazione;land use plan;421;466;9
http://custom.shared.obj.ch/concept#c84e9e52-5e3d-4fdd-b9d5-1883be44ebcb;c84e9e52-5e3d-4fdd-b9d5-1883be44ebcb;Kabelkommunikation;communication par câble;comunicazione via cavo;cable communication;3;3;0
http://geocat.ch/concept#218;218;Politische Grenze;limite politique;confine politico;political boundary;43;43;0
http://www.geocat.ch/concept#23a12206-94a9-4cd5-b630-f34b3c66ffb9;23a12206-94a9-4cd5-b630-f34b3c66ffb9;ISOS;ISOS;ISOS;ISOS;4;4;0
http://custom.shared.obj.ch/concept#4db3484b-604e-4cb2-938b-0de359e4eb1b;4db3484b-604e-4cb2-938b-0de359e4eb1b;Aussenbewirtung;gastronomie extérieur;gastronomia all'aperto;outdoor catering;1;1;0
http://geocat.ch/concept#94202915-c2c1-44fd-a106-71488110e399;94202915-c2c1-44fd-a106-71488110e399;Aufbewahrungs- und Archivierungsplanung AAP - Bund;Planification de la conservation et de l'archivage AAP - Conféderation;Pianificazione della conservazione e dell’archiviazione AAP - Confederazione;Conservation and archiving planning AAP - Confederation;317;409;29
http://geocat.ch/concept#d3bd9f86-7e77-4be7-b3f9-3f72a9ed0401;d3bd9f86-7e77-4be7-b3f9-3f72a9ed0401;Mobilität;mobilité;mobilità;mobility;11;11;0
http://custom.shared.obj.ch/concept#2ac856a7-aa16-42d0-87f5-d8c0225191b3;2ac856a7-aa16-42d0-87f5-d8c0225191b3;Mikrozonierung;microzonage;microzonazione;microzonation;3;4;0
http://custom.shared.obj.ch/concept#844574eb-112f-49f6-b18e-e27ec43ec987;844574eb-112f-49f6-b18e-e27ec43ec987;Speicherung;rétention;ritenzione;retention;13;13;10
http://custom.shared.obj.ch/concept#cc31ab9b-ec27-47a9-99ef-eacaac6188e3;cc31ab9b-ec27-47a9-99ef-eacaac6188e3;Fussgängerzone;zone piétonne;zona pedonale;pedestrian area;3;3;0
http://geocat.ch/concept#82;82;Forststrasse;route forestière;strada forestale;forest road;1;1;0
http://geocat.ch/concept#65;65;Fähre;bac;traghetto;ferry;4;4;0
http://custom.shared.obj.ch/concept#bc9c99c7-f46e-47bc-8ab6-e546b389c9ac;bc9c99c7-f46e-47bc-8ab6-e546b389c9ac;Wanderrouten;Randonnées pédestres;Percorsi a piedi;Walking routes;2;2;0
http://custom.shared.obj.ch/concept#c8a66cab-89c5-468f-a28c-5976a0c2715c;c8a66cab-89c5-468f-a28c-5976a0c2715c;Rohstoffgewinnung;extraction des matières premières;estrazione della materia prima;raw material extraction;2;2;0
http://geocat.ch/concept#86;86;GALILEO;GALILEO;GALILEO;GALILEO;1;1;0
http://geocat.ch/concept#209;209;Ortsname;nom de lieu;nome del luogo;place name;36;38;0
http://custom.shared.obj.ch/concept#80231876-6c7d-4f7e-90fb-27413b2a1da6;80231876-6c7d-4f7e-90fb-27413b2a1da6;Bundesinventar;inventaire fédéral;inventario federale;federal inventory;6;7;2
http://www.geocat.ch/concept#39861fa0-68d9-416d-b838-620699281d56;39861fa0-68d9-416d-b838-620699281d56;Betreuung;prise en charge;assistenza;care;5;5;2
http://geocat.ch/concept#321;321;Wegweiser;poteau indicateur;cartello indicatore;fingerpost;7;9;0
http://geocat.ch/concept#83;83;Erhebung;enquête;rilevamento;survey;7;7;0
http://custom.shared.obj.ch/concept#b5b2bc9e-f521-4a36-8ee3-c2e94558f8e8;b5b2bc9e-f521-4a36-8ee3-c2e94558f8e8;Lokalklima;climat local;clima locale;local climate;1;1;0
http://custom.shared.obj.ch/concept#8e6d1fbd-2232-42f2-a6cf-f064ab8f9b34;8e6d1fbd-2232-42f2-a6cf-f064ab8f9b34;Armee;armée;esercito;army;1;3;1
http://custom.shared.obj.ch/concept#87ee4ee8-9e79-4bf9-b581-b648a6b34faa;87ee4ee8-9e79-4bf9-b581-b648a6b34faa;Bezugspunkt;point de référence;punto di riferimento;reference point;15;15;0
http://geocat.ch/concept#320;320;Wegnetz;réseau de chemin;rete di cammino;path netwok;24;24;0
http://custom.shared.obj.ch/concept#ed9b7128-bc24-4287-a36c-3ccff23c2df5;ed9b7128-bc24-4287-a36c-3ccff23c2df5;Fledermaus;chauve-souris;pipistrello;bat;2;3;1
http://custom.shared.obj.ch/concept#d2d5093a-a657-44e3-b72d-6fb0e0cbbfea;d2d5093a-a657-44e3-b72d-6fb0e0cbbfea;Schwemmholz;bois flottant;legname galleggiante;driftwood;1;1;0
http://geocat.ch/concept#313;313;Waldrand;lisière;margine forestale;forest edge;18;18;0
http://geocat.ch/concept#324;324;Wildbach;torrent;torrente;torrent;3;3;0
http://custom.shared.obj.ch/concept#3ed11491-0175-4324-9d73-8076ee2e0cf1;3ed11491-0175-4324-9d73-8076ee2e0cf1;Trockenheit;sécheresse;secchezza;dryness;2;2;0
http://geocat.ch/concept#6326aee7-3e04-4c05-92b7-36264e7621b0;6326aee7-3e04-4c05-92b7-36264e7621b0;Waldfunktion;fonction de la forêt;funzione della foresta;forest function;11;11;1
http://geocat.ch/concept#1378b131-dc7a-449d-afbb-24c852aad908;1378b131-dc7a-449d-afbb-24c852aad908;Linked Data;linked data;linked data;linked data;1;1;0
http://www.geocat.ch/concept#42c5a7e5-9a44-46cf-b2b6-6a7d9726beb3;42c5a7e5-9a44-46cf-b2b6-6a7d9726beb3;Rebbau;viticulture;viticoltura;viticulture;20;24;1
http://custom.shared.obj.ch/concept#d5e9f21a-e44e-427d-b1e3-fbacddf74eb7;d5e9f21a-e44e-427d-b1e3-fbacddf74eb7;Erschliessung;desserte;viabilità;accessibility;21;21;0
http://custom.shared.obj.ch/concept#eb0c8dea-c857-4754-ae9a-09263e1ac361;eb0c8dea-c857-4754-ae9a-09263e1ac361;Basisplan;plan de base;piano di base;basis plan;90;91;2
http://custom.shared.obj.ch/concept#9866b847-d7fd-412f-9108-bfc5392995a4;9866b847-d7fd-412f-9108-bfc5392995a4;EGIP (European Geothermal Information Platform);EGIP (European Geothermal Information Platform);EGIP (European Geothermal Information Platform);EGIP (European Geothermal Information Platform);12;21;2
http://custom.shared.obj.ch/concept#b23ec449-5ea5-4455-ae56-f020069ff56c;b23ec449-5ea5-4455-ae56-f020069ff56c;Beschriftung;désignation;caratterizzazione;labelling;1;1;0
http://www.geocat.ch/concept#9e5d9b3e-dfde-400c-b73e-5d6c5d546e71;9e5d9b3e-dfde-400c-b73e-5d6c5d546e71;Produktionsstätte;unité de production;unità di produzione;production unit;2;2;0
http://custom.shared.obj.ch/concept#ab642d3d-d74f-400c-bb01-81c6dde26247;ab642d3d-d74f-400c-bb01-81c6dde26247;Geobasisdaten;géodonnées de base;geodati di base;official geodata;253;294;11
http://geocat.ch/concept#77579584-6138-47b7-aa71-39862f9790f9;77579584-6138-47b7-aa71-39862f9790f9;Mil_Personell;mil_personnel;mil_personale;mil_staff;0;1;0
http://www.geocat.ch/concept#ddd898ba-53c3-4455-a021-924c43b39fd8;ddd898ba-53c3-4455-a021-924c43b39fd8;ombrogen;ombrogène;ombrogeno;ombrogenic;3;3;0
http://custom.shared.obj.ch/concept#2f917dc0-a296-444a-b6c2-cf9bcc0495a3;2f917dc0-a296-444a-b6c2-cf9bcc0495a3;Lufthygiene;hygiène de l'air;igiene dell'aria;air hygiene;4;10;6
http://geocat.ch/concept#49;49;DOM (Digitales Oberflächenmodell);MNS (modèle numérique de surface);DSM (modello digitale di superficie);DSM (digital surface model);22;22;0
http://custom.shared.obj.ch/concept#a2e4fa3c-2f4f-4677-a2fc-94de15c9b015;a2e4fa3c-2f4f-4677-a2fc-94de15c9b015;SIA405;SIA405;SIA405;SIA405;20;21;0
http://custom.shared.obj.ch/concept#a418332d-63cb-45eb-8f70-6b3129149c3e;a418332d-63cb-45eb-8f70-6b3129149c3e;Naturgefahrenkarte;carte des dangers naturels;mappa dei rischi naturali;natural hazard map;20;21;1
http://custom.shared.obj.ch/concept#5f6a478d-6103-48d9-8a7c-01bc5184d4d7;5f6a478d-6103-48d9-8a7c-01bc5184d4d7;Landesgeologie;service géologique national;servizio geologico nazionale;swiss geological survey;2;2;0
http://geocat.ch/concept#305;305;Waldfeststellung;constatation de la nature forestière;accertamento del carattere forestale;declaration as forest;134;134;1
http://geocat.ch/concept#304;304;Waldentwicklung;évolution de la forêt;evoluzione della foresta;forest evolution;13;13;3
http://geocat.ch/concept#311;311;Forstkreis;arrondissement forestier;circondario forestale;forest district;4;4;2
http://geocat.ch/concept#217;217;Planeinteilung;répartition du plan;ripartizione del piano;plan division;44;48;0
http://geocat.ch/concept#7738cfcd-ae7f-4fc0-8fad-d1b01babbe94;7738cfcd-ae7f-4fc0-8fad-d1b01babbe94;Wildruhezone;zone de tranquillité;zone di tranquillità;zone of tranquility;4;4;0
http://www.geocat.ch/concept#e31aabe1-d39d-401c-8164-8ffa01a02185;e31aabe1-d39d-401c-8164-8ffa01a02185;Strassenbelag;revêtement routier;rivestimento stradale;road surfacing;1;1;0
http://custom.shared.obj.ch/concept#d48eb465-02da-4e73-b12e-9873c23ad9fb;d48eb465-02da-4e73-b12e-9873c23ad9fb;Stockwerk;étage;piano;floor;10;10;1
http://custom.shared.obj.ch/concept#6b6d9b72-663e-455b-98f3-7150e3cdc62f;6b6d9b72-663e-455b-98f3-7150e3cdc62f;Strassennetz;réseau routier;rete stradale;road network;34;34;1
http://geocat.ch/concept#68;68;Festgestein;roche cohérente;roccia coerente;well-consolidated rock;7;7;0
http://custom.shared.obj.ch/concept#11f96cd3-261c-4ef1-933a-105a2ee06e9a;11f96cd3-261c-4ef1-933a-105a2ee06e9a;Sondernutzungszone;zone à affectation particulière;zona di utilizzazione speciale;zone for special usage;12;12;0
http://geocat.ch/concept#34;34;Bezirk;district;distretto;district;34;35;0
http://custom.shared.obj.ch/concept#53db3bc7-fc94-46e5-ad7f-e1059ecd7519;53db3bc7-fc94-46e5-ad7f-e1059ecd7519;Rebe;vigne;vite;vine;16;18;0
http://geocat.ch/concept#4594c232-eafe-4f42-a375-74fc3032e220;4594c232-eafe-4f42-a375-74fc3032e220;Mil_Ausbildung;mil_formation;mil_formazione;mil_training;0;5;0
http://geocat.ch/concept#216;216;Petrografie;pétrographie;petrografia;petrography;12;12;0
