;TECHPUBLAYERNAME;uuid
663;ch.swisstopo.hiks-siegfried-ta25.metadata;86c12e05-aabf-4384-a88a-eeea18044e83
664;ch.swisstopo.hiks-siegfried-ta50.metadata;b8642253-c0df-4d39-b92e-d05467caf0f5
665;ch.swisstopo.images-swissimage-dop10.metadata;3f340030-15de-4ab6-a1b1-5f33e09a997f
666;ch.swisstopo.koordinatenaenderung;d749d5c4-d362-489b-a6c1-a8ee68aeeaab
667;ch.swisstopo.landesschwerenetz;95879cd4-e93d-4d4d-af57-4ec6731b9c97
668;ch.swisstopo.leichte-basiskarte_reliefschattierung;eaa79f58-0dc7-4cfc-8308-f7adc33d933a
669;ch.swisstopo.lotabweichungen;ef5df57e-8eb3-4b55-96e5-0e70adead7ad
670;ch.swisstopo.lubis-bildstreifen;7392cfbf-2f3b-446f-934f-604bc9410978
671;ch.swisstopo.lubis-luftbilder-dritte-firmen;f614decc-a4f2-480f-b007-b8d9b99bdde5
672;ch.swisstopo.lubis-luftbilder-dritte-kantone;5327cb7b-269b-4d02-b199-19418ee33d54
673;ch.swisstopo.lubis-luftbilder_farbe;352c0302-fac6-455b-bd81-092850a7ad4e
674;ch.swisstopo.lubis-luftbilder_infrarot;aee873f9-127a-4567-86a9-abb740bb9706
675;ch.swisstopo.lubis-luftbilder_schraegaufnahmen;b38ee443-8965-4a25-bb99-626b32c6227f
676;ch.swisstopo.lubis-luftbilder_schwarzweiss;12970991-2623-4e1e-a420-7435a6b5046c
677;ch.swisstopo.lubis-terrestrische_aufnahmen;7e0b1343-0d6c-4d3d-9c63-9ed49ca2c0a9
678;ch.swisstopo.meldungen-karten_geodaten;37fe878e-f207-48f7-9d9a-a4192aeaef71
679;ch.swisstopo.pixelkarte-farbe-pk1000.noscale;4ea228b8-7910-4339-8a31-d38d8d8592bd
680;ch.swisstopo.schneeschuhwandern;56c1795e-c074-4731-9766-9a44050dc2a8
681;ch.swisstopo.swissboundaries3d-bezirk-flaeche.fill;e1b8837d-8c19-4b65-a8b5-21aaff44fa91
682;ch.swisstopo.swissboundaries3d-gemeinde-flaeche.fill;9961dc6c-20a9-4b16-8a24-b20c3d8ddb83
683;ch.swisstopo.swissboundaries3d-kanton-flaeche.fill;9eee6d40-f0a6-46c9-94ad-69679b9f3d38
684;ch.swisstopo.swissboundaries3d-land-flaeche.fill;c5bd42e6-033f-4d43-a398-320b42538798
685;ch.swisstopo.swissimage-product.metadata;1fc43fd9-f43f-4779-aa59-51e8f4833372
686;ch.swisstopo.swissnames3d;ab24e5cc-7f53-451a-820a-f113fa545943
687;ch.swisstopo.swisssurface3d-raster.metadata;36ad08cb-ba6b-4bd4-9960-c809a1ff7a66
688;ch.swisstopo.swisssurface3d.metadata;a1a07baa-2dfc-458e-91e7-b1710ce1de1d
689;ch.swisstopo.transformation-bezugsrahmen_hoehe;b3362599-3bc6-4615-a290-546792f89c83
690;ch.swisstopo.transformationsgenauigkeit;579e0ecf-6700-4652-81f5-bf0e28f2fcd6
691;ch.swisstopo.treasurehunt;
692;ch.swisstopo.vec200-adminboundaries-protectedarea;37c78660-531a-404c-86f8-8cdde0c3d985
693;ch.swisstopo.verschiebungsvektoren-tsp1;b7630e06-7e06-4ab0-9ed5-9fd2e66b6433
694;ch.swisstopo.verschiebungsvektoren-tsp2;fcd80c13-8824-4c3b-835b-95172eb9e4e6
