;TECHPUBLAYERNAME;uuid
72;ch.bafu.bundesinventare-trockenwiesen_trockenweiden_anhang2;9391d96a-280b-4e7b-bcc7-7836007b30f1
73;ch.bafu.bundesinventare-vogelreservate;8fc6f748-80ce-47b2-8d49-b05a0c8ba975
74;ch.bafu.erosion-gruenland_bodenabtrag_apr;6007a86c-7e1d-4f3c-a7d9-4eae01cac9c0
75;ch.bafu.erosion-gruenland_bodenabtrag_aug;6672872c-a579-42e1-b7d4-35d706b61cfb
76;ch.bafu.erosion-gruenland_bodenabtrag_dez;b7a8ae3e-5ce7-429e-9783-4c4cd02481b9
77;ch.bafu.erosion-gruenland_bodenabtrag_feb;2ed54e2b-e0da-406b-a7d0-5b0fbcd7f62b
78;ch.bafu.erosion-gruenland_bodenabtrag_jan;86e14673-a4f0-49c1-8945-27b5c9134fea
79;ch.bafu.erosion-gruenland_bodenabtrag_jul;05ab7dfa-9155-4575-a0a3-fdffd52f05d3
80;ch.bafu.erosion-gruenland_bodenabtrag_jun;3d738c4e-26d1-4688-9d4d-3c405214bf77
81;ch.bafu.erosion-gruenland_bodenabtrag_mai;8162b6fe-e9e4-4864-9f17-72e372a5f55a
82;ch.bafu.erosion-gruenland_bodenabtrag_mrz;7225cd4b-363a-44a0-822c-9c37e0a6930b
83;ch.bafu.erosion-gruenland_bodenabtrag_nov;7681e749-7e18-4304-ba20-c9ca757a8794
84;ch.bafu.erosion-gruenland_bodenabtrag_okt;256be392-6fa9-4595-b0a3-9390c039bb80
85;ch.bafu.erosion-gruenland_bodenabtrag_sep;4dc18e2d-e3e4-415b-b141-2c61feb1da52
86;ch.bafu.fauna-steinbockkolonien;9c762bb5-4d8c-4174-9b77-95e85b962439
87;ch.bafu.fauna-vernetzungsachsen_national;6241112d-25c1-48bb-a6bf-c8b98805b5fc
88;ch.bafu.fauna-wildtierkorridor_national;df8e620a-6f8a-41f8-85fb-394d6ceda8a0
89;ch.bafu.feststoffe-geschiebemessnetz;05ba053f-60ca-492b-a1f5-bd70f6de8761
90;ch.bafu.fischerei-aeschen_kernzonen;befea12b-b27b-40dd-920d-9c4d2eafc7fb
91;ch.bafu.fischerei-aeschen_laichplaetze;53c8a8bb-67ab-4525-8b64-011079e63294
92;ch.bafu.fischerei-aeschen_larvenhabitate;30c248d4-46c6-4afc-a949-d26623c8b0e6
93;ch.bafu.fischerei-aeschen_verbreitungsgebiet;ea67adf4-0f51-4f9a-ae5d-35d950f35d76
94;ch.bafu.fischerei-krebspest;722d70aa-8404-47ca-ae5d-1e521e4229e9
95;ch.bafu.fischerei-nasenlaichplaetze;d8730e9f-fdd3-41aa-91c2-cdde00176fdd
