;number;layer;TECHPUBLAYERNAME;uuid
231;232;ch.bafu.niederschlagserosivitaet-apr (Niederschlagserosivität April);ch.bafu.niederschlagserosivitaet-apr;42bdfe82-dd78-466c-acc5-146ac9651bb3
232;233;ch.bafu.niederschlagserosivitaet-aug (Niederschlagserosivität Aug.);ch.bafu.niederschlagserosivitaet-aug;389736f8-514d-4c68-8a9b-1533b97c0dd6
233;234;ch.bafu.niederschlagserosivitaet-dez (Niederschlagserosivität Dez.);ch.bafu.niederschlagserosivitaet-dez;aa833371-8fed-4cb6-bb1d-6053e8838021
234;235;ch.bafu.niederschlagserosivitaet-feb (Niederschlagserosivität Feb.);ch.bafu.niederschlagserosivitaet-feb;053bcacc-0ae4-4e03-9a79-9e0ecb56cd77
235;236;ch.bafu.niederschlagserosivitaet-jan (Niederschlagserosivität Jan.);ch.bafu.niederschlagserosivitaet-jan;ca83b114-938b-4f52-8556-eb2844b4b00c
236;237;ch.bafu.niederschlagserosivitaet-jul (Niederschlagserosivität Juli);ch.bafu.niederschlagserosivitaet-jul;7fd70db8-3128-4734-99ac-b1cf46cfcad8
237;238;ch.bafu.niederschlagserosivitaet-jun (Niederschlagserosivität Juni);ch.bafu.niederschlagserosivitaet-jun;1c8c4639-c783-4f76-954d-d0f82e07ed28
238;239;ch.bafu.niederschlagserosivitaet-mai (Niederschlagserosivität Mai);ch.bafu.niederschlagserosivitaet-mai;a554eed4-2a20-4d7e-a2ee-cc29832f4c46
239;240;ch.bafu.niederschlagserosivitaet-mrz (Niederschlagserosivität März);ch.bafu.niederschlagserosivitaet-mrz;c91931dd-73a0-47d0-aef2-7939625fa3b3
240;241;ch.bafu.niederschlagserosivitaet-nov (Niederschlagserosivität Nov.);ch.bafu.niederschlagserosivitaet-nov;d7470deb-cc45-404d-8977-85fbee610217
241;242;ch.bafu.niederschlagserosivitaet-okt (Niederschlagserosivität Okt.);ch.bafu.niederschlagserosivitaet-okt;73d7de96-ba8c-4b89-946a-97733df8f4f9
242;243;ch.bafu.niederschlagserosivitaet-sep (Niederschlagserosivität Sep.);ch.bafu.niederschlagserosivitaet-sep;5eda53ff-5566-4a22-964c-7855583f6a81
